ResponseId,ProductName,AdNumber,QuestionType,QuestionNumber,Rating,AgeGroup,ShoppingFreq,Duration
R_4dAB6hOE7ORFHXj,Phonecase,1,Purchase Intent,1,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,1,Visual Appeal,2,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,1,Value Convincing,3,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,1,Message Clarity,4,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,1,Trustworthiness,5,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,2,Purchase Intent,1,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,2,Visual Appeal,2,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,2,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,2,Message Clarity,4,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,2,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,3,Purchase Intent,1,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,3,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,3,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,3,Message Clarity,4,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,3,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,4,Purchase Intent,1,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,4,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,4,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,4,Message Clarity,4,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,4,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,5,Purchase Intent,1,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,5,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,5,Value Convincing,3,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,5,Message Clarity,4,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,5,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,6,Purchase Intent,1,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,6,Visual Appeal,2,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,6,Value Convincing,3,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,6,Message Clarity,4,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,6,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,7,Purchase Intent,1,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,7,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,7,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,7,Message Clarity,4,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,7,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,8,Purchase Intent,1,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,8,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,8,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,8,Message Clarity,4,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,8,Trustworthiness,5,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,9,Purchase Intent,1,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,9,Visual Appeal,2,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,9,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,9,Message Clarity,4,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,9,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,10,Purchase Intent,1,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,10,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,10,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,10,Message Clarity,4,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,10,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,11,Purchase Intent,1,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,11,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,11,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,11,Message Clarity,4,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,11,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,12,Purchase Intent,1,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,12,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,12,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,12,Message Clarity,4,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,12,Trustworthiness,5,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,13,Purchase Intent,1,3,,,218
R_4dAB6hOE7ORFHXj,Phonecase,13,Visual Appeal,2,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,13,Value Convincing,3,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,13,Message Clarity,4,4,,,218
R_4dAB6hOE7ORFHXj,Phonecase,13,Trustworthiness,5,4,,,218
R_9dMLWHZS9wwgUlX,T-Shirt,1,Purchase Intent,1,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,1,Visual Appeal,2,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,1,Value Convincing,3,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,1,Message Clarity,4,5,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,1,Trustworthiness,5,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,3,Purchase Intent,1,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,3,Visual Appeal,2,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,3,Value Convincing,3,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,3,Message Clarity,4,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,3,Trustworthiness,5,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,4,Purchase Intent,1,5,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,4,Visual Appeal,2,5,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,4,Value Convincing,3,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,4,Message Clarity,4,3,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,4,Trustworthiness,5,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,5,Purchase Intent,1,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,5,Visual Appeal,2,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,5,Value Convincing,3,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,5,Message Clarity,4,5,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,5,Trustworthiness,5,5,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,6,Purchase Intent,1,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,6,Visual Appeal,2,3,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,6,Value Convincing,3,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,6,Message Clarity,4,4,,,351
R_9dMLWHZS9wwgUlX,T-Shirt,6,Trustworthiness,5,3,,,351
R_44GUXr08nvquzx9,Coffee Mug,1,Purchase Intent,1,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,1,Visual Appeal,2,2,,,647
R_44GUXr08nvquzx9,Coffee Mug,1,Value Convincing,3,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,1,Message Clarity,4,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,1,Trustworthiness,5,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,2,Purchase Intent,1,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,2,Visual Appeal,2,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,2,Value Convincing,3,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,2,Message Clarity,4,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,2,Trustworthiness,5,2,,,647
R_44GUXr08nvquzx9,Coffee Mug,3,Purchase Intent,1,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,3,Visual Appeal,2,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,3,Value Convincing,3,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,3,Message Clarity,4,4,,,647
R_44GUXr08nvquzx9,Coffee Mug,3,Trustworthiness,5,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,4,Purchase Intent,1,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,4,Visual Appeal,2,5,,,647
R_44GUXr08nvquzx9,Coffee Mug,4,Value Convincing,3,3,,,647
R_44GUXr08nvquzx9,Coffee Mug,4,Message Clarity,4,5,,,647
