ResponseId,ProductName,AdNumber,AdType,LLM_Model,PurchaseIntent,VisualAppeal,ValueConvincing,MessageClarity,Trustworthiness,OverallRating,HighRating,AgeGroup,ShoppingFreq
R_1mJfsTuKFRxBeNX,T-Shirt,1,Human Both,Human,2,1,2,2,1,1.6,0,,
R_1mJfsTuKFRxBeNX,T-Shirt,3,Human Image + Claude Copy,Claude,3,1,2,3,3,2.4,0,,
R_1mJfsTuKFRxBeNX,T-Shirt,4,Human Image + Deepseek Copy,Deepseek,1,1,3,3,2,2.0,0,,
R_1mJfsTuKFRxBeNX,T-Shirt,5,Human Image + Gemini Copy,Gemini,1,1,3,3,2,2.0,0,,
R_1mJfsTuKFRxBeNX,T-Shirt,6,ChatGPT Image + Human Copy,ChatGPT,2,2,2,2,2,2.0,0,,
R_44GUXr08nvquzx9,Coffee Mug,1,Human Both,Human,4,2,3,3,3,3.0,0,,
R_44GUXr08nvquzx9,Coffee Mug,2,Human Image + ChatGPT Copy,ChatGPT,5,3,3,5,2,3.6,0,,
R_44GUXr08nvquzx9,Coffee Mug,3,Human Image + Claude Copy,Claude,5,4,3,4,3,3.8,0,,
R_44GUXr08nvquzx9,Coffee Mug,4,Human Image + Deepseek Copy,Deepseek,5,5,3,5,2,4.0,0,,
R_44GUXr08nvquzx9,Coffee Mug,5,Human Image + Gemini Copy,Gemini,5,4,3,5,5,4.4,0,,
R_44GUXr08nvquzx9,Coffee Mug,6,ChatGPT Image + Human Copy,ChatGPT,5,5,4,4,4,4.4,0,,
R_44GUXr08nvquzx9,Coffee Mug,7,Claude Image + Human Copy,Claude,5,4,3,5,4,4.2,0,,
R_44GUXr08nvquzx9,Coffee Mug,8,Deepseek Image + Human Copy,Deepseek,5,4,3,5,3,4.0,0,,
R_44GUXr08nvquzx9,Coffee Mug,9,Gemini Image + Human Copy,Gemini,5,4,3,4,3,3.8,0,,
R_44GUXr08nvquzx9,Coffee Mug,10,ChatGPT Both,ChatGPT,5,4,4,5,4,4.4,0,,
R_44GUXr08nvquzx9,Coffee Mug,11,Claude Both,Claude,5,4,4,4,4,4.2,0,,
